"Fighter","Stance","WT_Class","Date","Birthdate","Height_mean","Height_sum","Height_max","Height_min","Height_sd","Weight_mean","Weight_sum","Weight_max","Weight_min","Weight_sd","Reach_mean","Reach_sum","Reach_max","Reach_min","Reach_sd","Rnd_mean","Rnd_sum","Rnd_max","Rnd_min","Rnd_sd","SDBL_mean","SDBL_sum","SDBL_max","SDBL_min","SDBL_sd","SDB_A_mean","SDB_A_sum","SDB_A_max","SDB_A_min","SDB_A_sd","SDHL_mean","SDHL_sum","SDHL_max","SDHL_min","SDHL_sd","SDH_A_mean","SDH_A_sum","SDH_A_max","SDH_A_min","SDH_A_sd","SDLL_mean","SDLL_sum","SDLL_max","SDLL_min","SDLL_sd","SDL_A_mean","SDL_A_sum","SDL_A_max","SDL_A_min","SDL_A_sd","TSL_mean","TSL_sum","TSL_max","TSL_min","TSL_sd","TS_A_mean","TS_A_sum","TS_A_max","TS_A_min","TS_A_sd","SSL_mean","SSL_sum","SSL_max","SSL_min","SSL_sd","SS_A_mean","SS_A_sum","SS_A_max","SS_A_min","SS_A_sd","X.Total_Strikes_mean","X.Total_Strikes_sum","X.Total_Strikes_max","X.Total_Strikes_min","X.Total_Strikes_sd","KD_mean","KD_sum","KD_max","KD_min","KD_sd","X.BODY_mean","X.BODY_sum","X.BODY_max","X.BODY_min","X.BODY_sd","X.HEAD_mean","X.HEAD_sum","X.HEAD_max","X.HEAD_min","X.HEAD_sd","X.LEG_mean","X.LEG_sum","X.LEG_max","X.LEG_min","X.LEG_sd","SCBL_mean","SCBL_sum","SCBL_max","SCBL_min","SCBL_sd","SCB_A_mean","SCB_A_sum","SCB_A_max","SCB_A_min","SCB_A_sd","SCHL_mean","SCHL_sum","SCHL_max","SCHL_min","SCHL_sd","SCH_A_mean","SCH_A_sum","SCH_A_max","SCH_A_min","SCH_A_sd","SCLL_mean","SCLL_sum","SCLL_max","SCLL_min","SCLL_sd","SCL_A_mean","SCL_A_sum","SCL_A_max","SCL_A_min","SCL_A_sd","RV_mean","RV_sum","RV_max","RV_min","RV_sd","SR_mean","SR_sum","SR_max","SR_min","SR_sd","TDL_mean","TDL_sum","TDL_max","TDL_min","TDL_sd","TD_A_mean","TD_A_sum","TD_A_max","TD_A_min","TD_A_sd","TDS_mean","TDS_sum","TDS_max","TDS_min","TDS_sd","X.TK_ACC_mean","X.TK_ACC_sum","X.TK_ACC_max","X.TK_ACC_min","X.TK_ACC_sd","SGBL_mean","SGBL_sum","SGBL_max","SGBL_min","SGBL_sd","SGB_A_mean","SGB_A_sum","SGB_A_max","SGB_A_min","SGB_A_sd","SGHL_mean","SGHL_sum","SGHL_max","SGHL_min","SGHL_sd","SGH_A_mean","SGH_A_sum","SGH_A_max","SGH_A_min","SGH_A_sd","SGLL_mean","SGLL_sum","SGLL_max","SGLL_min","SGLL_sd","SGL_A_mean","SGL_A_sum","SGL_A_max","SGL_A_min","SGL_A_sd","AD_mean","AD_sum","AD_max","AD_min","AD_sd","ADTB_mean","ADTB_sum","ADTB_max","ADTB_min","ADTB_sd","ADHG_mean","ADHG_sum","ADHG_max","ADHG_min","ADHG_sd","ADTM_mean","ADTM_sum","ADTM_max","ADTM_min","ADTM_sd","ADTS_mean","ADTS_sum","ADTS_max","ADTS_min","ADTS_sd","SM_mean","SM_sum","SM_max","SM_min","SM_sd","Southpaw_Stance_mean","Southpaw_Stance_sum","Southpaw_Stance_max","Southpaw_Stance_min","Southpaw_Stance_sd","Orthodox_Stance_mean","Orthodox_Stance_sum","Orthodox_Stance_max","Orthodox_Stance_min","Orthodox_Stance_sd","Switch_Stance_mean","Switch_Stance_sum","Switch_Stance_max","Switch_Stance_min","Switch_Stance_sd","Time_Seconds_mean","Time_Seconds_sum","Time_Seconds_max","Time_Seconds_min","Time_Seconds_sd","Total_Fight_Time_Seconds_mean","Total_Fight_Time_Seconds_sum","Total_Fight_Time_Seconds_max","Total_Fight_Time_Seconds_min","Total_Fight_Time_Seconds_sd","Decision_Unanimous_mean","Decision_Unanimous_sum","Decision_Unanimous_max","Decision_Unanimous_min","Decision_Unanimous_sd","KO_TKO_mean","KO_TKO_sum","KO_TKO_max","KO_TKO_min","KO_TKO_sd","Submission_mean","Submission_sum","Submission_max","Submission_min","Submission_sd","Decision_Split_mean","Decision_Split_sum","Decision_Split_max","Decision_Split_min","Decision_Split_sd","No_Contest_mean","No_Contest_sum","No_Contest_max","No_Contest_min","No_Contest_sd","Draw_mean","Draw_sum","Draw_max","Draw_min","Draw_sd","Decision_Majority_mean","Decision_Majority_sum","Decision_Majority_max","Decision_Majority_min","Decision_Majority_sd","TKO_Doctors_Stoppage_mean","TKO_Doctors_Stoppage_sum","TKO_Doctors_Stoppage_max","TKO_Doctors_Stoppage_min","TKO_Doctors_Stoppage_sd","Africa_mean","Africa_sum","Africa_max","Africa_min","Africa_sd","Asia_mean","Asia_sum","Asia_max","Asia_min","Asia_sd","Europe_mean","Europe_sum","Europe_max","Europe_min","Europe_sd","North_America_mean","North_America_sum","North_America_max","North_America_min","North_America_sd","South_America_mean","South_America_sum","South_America_max","South_America_min","South_America_sd","Oceania_mean","Oceania_sum","Oceania_max","Oceania_min","Oceania_sd","X.Significant_Strikes_mean","X.Significant_Strikes_sum","X.Significant_Strikes_max","X.Significant_Strikes_min","X.Significant_Strikes_sd","X.Clinch_Body_Strikes_mean","X.Clinch_Body_Strikes_sum","X.Clinch_Body_Strikes_max","X.Clinch_Body_Strikes_min","X.Clinch_Body_Strikes_sd","X.Clinch_Head_Strikes_mean","X.Clinch_Head_Strikes_sum","X.Clinch_Head_Strikes_max","X.Clinch_Head_Strikes_min","X.Clinch_Head_Strikes_sd","X.Clinch_Leg_Strikes_mean","X.Clinch_Leg_Strikes_sum","X.Clinch_Leg_Strikes_max","X.Clinch_Leg_Strikes_min","X.Clinch_Leg_Strikes_sd","X.Ground_Body_Strikes_mean","X.Ground_Body_Strikes_sum","X.Ground_Body_Strikes_max","X.Ground_Body_Strikes_min","X.Ground_Body_Strikes_sd","X.Ground_Head_Strikes_mean","X.Ground_Head_Strikes_sum","X.Ground_Head_Strikes_max","X.Ground_Head_Strikes_min","X.Ground_Head_Strikes_sd","X.Ground_Leg_Strikes_mean","X.Ground_Leg_Strikes_sum","X.Ground_Leg_Strikes_max","X.Ground_Leg_Strikes_min","X.Ground_Leg_Strikes_sd","Results_mean","Results_sum","Results_max","Results_min","Results_sd"
"Curtis Blaydes","Orthodox","Heavyweight",2024-03-16,1987-12-18,76,76,76,76,0,256,256,256,256,0,80,80,80,80,0,3,3,3,3,0,1,1,1,1,0,1,1,1,1,0,7,7,7,7,0,50,50,50,50,0,3,3,3,3,0,3,3,3,3,0,126,126,126,126,0,184,184,184,184,0,56,56,56,56,0,105,105,105,105,0,68,68,68,68,0,1,1,1,1,0,100,100,100,100,0,48,48,48,48,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,0,14,14,14,14,0,3,3,3,3,0,71,71,71,71,0,5,5,5,5,0,6,6,6,6,0,39,39,39,39,0,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,0,1,1,1,1,0,1,1,1,1,0,4,4,4,4,0,2,2,2,2,0,3,3,3,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,300,300,300,300,0,900,900,900,900,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,53,53,53,53,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,83,83,83,83,0,86,86,86,86,0,0,0,0,0,0,1,1,1,1,0
"Damon Jackson","Switch","Featherweight",2015-06-06,1991-02-21,71,71,71,71,0,146,146,146,146,0,71,71,71,71,0,1,1,1,1,0,13,13,13,13,0,26,26,26,26,0,20,20,20,20,0,40,40,40,40,0,6,6,6,6,0,10,10,10,10,0,39,39,39,39,0,78,78,78,78,0,26,26,26,26,0,52,52,52,52,0,50,50,50,50,0,0,0,0,0,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,4,4,4,4,0,8,8,8,8,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,211,211,211,211,0,211,211,211,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Damon Jackson","Switch","Featherweight",2016-08-20,1987-08-03,71,71,71,71,0,146,146,146,146,0,71,71,71,71,0,3,3,3,3,0,15,15,15,15,0,30,30,30,30,0,20,20,20,20,0,35,35,35,35,0,8,8,8,8,0,12,12,12,12,0,45,45,45,45,0,90,90,90,90,0,32,32,32,32,0,64,64,64,64,0,50,50,50,50,0,0,0,0,0,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,6,6,6,6,0,12,12,12,12,0,3,3,3,3,0,6,6,6,6,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,300,300,300,300,0,900,900,900,900,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,0,0,0,0,0,50,50,50,50,0,1,1,1,1,0
"Damon Jackson","Switch","Featherweight",2019-09-07,1988-07-09,71,71,71,71,0,146,146,146,146,0,71,71,71,71,0,2,2,2,2,0,20,20,20,20,0,35,35,35,35,0,25,25,25,25,0,40,40,40,40,0,10,10,10,10,0,15,15,15,15,0,60,60,60,60,0,120,120,120,120,0,40,40,40,40,0,80,80,80,80,0,50,50,50,50,0,0,0,0,0,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,8,8,8,8,0,16,16,16,16,0,5,5,5,5,0,10,10,10,10,0,2,2,2,2,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,6,6,6,6,0,2,2,2,2,0,4,4,4,4,0,2,2,2,2,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,253,253,253,253,0,553,553,553,553,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,0,0,0,0,0
"Damon Jackson","Switch","Featherweight",2020-07-25,1993-04-11,71,71,71,71,0,146,146,146,146,0,71,71,71,71,0,2,2,2,2,0,15,15,15,15,0,30,30,30,30,0,23,23,23,23,0,43,43,43,43,0,7,7,7,7,0,11,11,11,11,0,45,45,45,45,0,90,90,90,90,0,30,30,30,30,0,60,60,60,60,0,50,50,50,50,0,0,0,0,0,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,5,5,5,5,0,10,10,10,10,0,2,2,2,2,0,4,4,4,4,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,114,114,114,114,0,414,414,414,414,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,0,0,0,0,0,50,50,50,50,0,0,0,0,0,0
"Damon Jackson","Switch","Featherweight",2020-08-15,1988-03-17,71,71,71,71,0,146,146,146,146,0,71,71,71,71,0,2,2,2,2,0,14,14,14,14,0,28,28,28,28,0,19,19,19,19,0,33,33,33,33,0,7,7,7,7,0,11,11,11,11,0,40,40,40,40,0,80,80,80,80,0,28,28,28,28,0,56,56,56,56,0,50,50,50,50,0,0,0,0,0,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,5,5,5,5,0,10,10,10,10,0,2,2,2,2,0,4,4,4,4,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,282,282,282,282,0,582,582,582,582,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,0,0,0,0,0,50,50,50,50,0,1,1,1,1,0
"Damon Jackson","Switch","Featherweight",2020-09-26,1989-07-22,71,71,71,71,0,146,146,146,146,0,71,71,71,71,0,1,1,1,1,0,18,18,18,18,0,32,32,32,32,0,23,23,23,23,0,37,37,37,37,0,9,9,9,9,0,14,14,14,14,0,50,50,50,50,0,100,100,100,100,0,35,35,35,35,0,70,70,70,70,0,50,50,50,50,0,0,0,0,0,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,7,7,7,7,0,14,14,14,14,0,4,4,4,4,0,8,8,8,8,0,2,2,2,2,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,4,4,4,4,0,1,1,1,1,0,2,2,2,2,0,2,2,2,2,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,69,69,69,69,0,69,69,69,69,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,1,1,1,1,0
"Damon Jackson","Switch","Featherweight",2020-10-24,1993-03-16,71,71,71,71,0,146,146,146,146,0,71,71,71,71,0,3,3,3,3,0,5,5,5,5,0,10,10,10,10,0,10,10,10,10,0,20,20,20,20,0,3,3,3,3,0,5,5,5,5,0,25,25,25,25,0,50,50,50,50,0,15,15,15,15,0,30,30,30,30,0,50,50,50,50,0,0,0,0,0,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,2,2,2,2,0,4,4,4,4,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,300,300,300,300,0,900,900,900,900,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,0,0,0,0,0,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Damon Jackson","Switch","Featherweight",2021-02-20,1995-01-24,71,71,71,71,0,146,146,146,146,0,71,71,71,71,0,3,3,3,3,0,12,12,12,12,0,24,24,24,24,0,17,17,17,17,0,34,34,34,34,0,6,6,6,6,0,10,10,10,10,0,35,35,35,35,0,70,70,70,70,0,24,24,24,24,0,48,48,48,48,0,50,50,50,50,0,0,0,0,0,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,4,4,4,4,0,8,8,8,8,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,81,81,81,81,0,681,681,681,681,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"Damon Jackson","Switch","Featherweight",2022-07-23,1995-01-03,71,71,71,71,0,146,146,146,146,0,71,71,71,71,0,3,3,3,3,0,13,13,13,13,0,26,26,26,26,0,18,18,18,18,0,32,32,32,32,0,6,6,6,6,0,10,10,10,10,0,37,37,37,37,0,74,74,74,74,0,26,26,26,26,0,52,52,52,52,0,50,50,50,50,0,0,0,0,0,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,4,4,4,4,0,8,8,8,8,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,300,300,300,300,0,900,900,900,900,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"Damon Jackson","Switch","Featherweight",2022-10-15,1992-06-28,71,71,71,71,0,146,146,146,146,0,71,71,71,71,0,3,3,3,3,0,10,10,10,10,0,20,20,20,20,0,15,15,15,15,0,30,30,30,30,0,5,5,5,5,0,10,10,10,10,0,50,50,50,50,0,100,100,100,100,0,30,30,30,30,0,60,60,60,60,0,50,50,50,50,0,0,0,0,0,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,5,5,5,5,0,10,10,10,10,0,3,3,3,3,0,6,6,6,6,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,4,4,4,4,0,1,1,1,1,0,2,2,2,2,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,300,300,300,300,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,1,1,1,1,0
"Damon Jackson","Switch","Featherweight",2023-12-16,1994-12-30,71,71,71,71,0,146,146,146,146,0,71,71,71,71,0,3,3,3,3,0,14,14,14,14,0,28,28,28,28,0,21,21,21,21,0,42,42,42,42,0,7,7,7,7,0,12,12,12,12,0,42,42,42,42,0,84,84,84,84,0,28,28,28,28,0,56,56,56,56,0,50,50,50,50,0,0,0,0,0,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,5,5,5,5,0,10,10,10,10,0,2,2,2,2,0,4,4,4,4,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,300,300,300,300,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,0,0,0,0,0,50,50,50,50,0,0,0,0,0,0
"Damon Jackson","Switch","Featherweight",2024-07-27,1995-07-15,71,71,71,71,0,146,146,146,146,0,71,71,71,71,0,1,1,1,1,0,11,11,11,11,0,22,22,22,22,0,16,16,16,16,0,30,30,30,30,0,5,5,5,5,0,8,8,8,8,0,32,32,32,32,0,64,64,64,64,0,22,22,22,22,0,44,44,44,44,0,50,50,50,50,0,0,0,0,0,0,50,50,50,50,0,50,50,50,50,0,50,50,50,50,0,3,3,3,3,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,158,158,158,158,0,158,158,158,158,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,0,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dan Hooker","Orthodox","Lightweight",2015-01-03,1984-03-16,72,72,72,72,0,155,155,155,155,0,75,75,75,75,0,3,3,3,3,0,1,1,1,1,0,5,5,5,5,0,43,43,43,43,0,84,84,84,84,0,3,3,3,3,0,9,9,9,9,0,58,58,58,58,0,111,111,111,111,0,47,47,47,47,0,100,100,100,100,0,52,52,52,52,0,0,0,0,0,0,20,20,20,20,0,50,50,50,50,0,33,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,300,300,300,300,0,900,900,900,900,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,47,47,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
